Project name,source,subid,Age [A],% TCPA Match [B],% Ad Copy Match [C],Distance Factor [D],Rate of Lead Ingestion [E],Trust Score (Normalized)
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
